dataset,role,task,seed,fold,metric,angle_deg,value,result_path
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,195,0.5738588035157357,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,210,0.5795293450524525,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,225,0.5877516302806918,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,240,0.6039126736603345,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,255,0.6110008505812305,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,270,0.6393535582648143,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,285,0.6385029770343068,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,300,0.6594839807201588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,315,0.6725262262546073,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,330,0.7039977317833853,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,angle_accuracy,345,0.7139211794726397,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,4,min,,0.5304791607598526,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,max,,0.7207258293166997,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,mean,,0.6208179756166713,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,std,,0.05680944599822043,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,acc@0,,0.7207258293166997,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,acc@90,,0.6053303090445138,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,acc@180,,0.5486248936773462,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,acc@270,,0.6322653813439183,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,0,0.7207258293166997,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,15,0.7031471505528778,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,30,0.6946413382478027,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,45,0.6711085908704282,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,60,0.6461582081088744,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,75,0.6197901899631415,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,90,0.6053303090445138,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,angle_accuracy,105,0.5795293450524525,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
