dataset,model,source_curve,epoch,train_acc,val_acc,train_loss,val_loss
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,6,0.630912184715271,0.5638195872306824,1.1627370119094849,1.374950647354126
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,7,0.6735641956329346,0.5647792816162109,1.0220491886138916,1.3618659973144531
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,8,0.7183277010917664,0.5796545147895813,0.8917640447616577,1.3356989622116089
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,9,0.7472550868988037,0.5930902361869812,0.7924893498420715,1.3268736600875854
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,10,0.7829391956329346,0.6036468148231506,0.6735883951187134,1.3046287298202515
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,11,0.8023648858070374,0.6113243699073792,0.6221386194229126,1.303206443786621
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,12,0.8291807174682617,0.6209213137626648,0.5263828635215759,1.2898905277252197
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,13,0.8545185923576355,0.6281189918518066,0.460642009973526,1.3222401142120361
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,14,0.873099684715271,0.6214011311531067,0.3974413573741913,1.3461025953292847
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,15,0.8876689076423645,0.6266794800758362,0.3683808743953705,1.3429288864135742
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,16,0.8986486196517944,0.6333973407745361,0.3257977366447449,1.3465980291366577
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,17,0.9024493098258972,0.6266794800758362,0.3044535219669342,1.3743512630462646
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,18,0.9151182174682617,0.6367562413215637,0.2667025625705719,1.353557825088501
AS25_clean,baseline,outputs/asp_as25_baseline_AS25_clean_seed42/20260508_230242/resnet50/training_curve.csv,19,0.9273648858070374,0.6367562413215637,0.24576754868030548,1.3616212606430054
